STATION,ADDRESS,LOCALITY,ALTADDRESS,LONG,LAT
EURONG RURAL,JARVIS STREET,EURONG ,,153.125006021,-25.512075672
FERNVALE RURAL,BRISBANE VALLEY HIGHWAY,FERNVALE ,,152.653424371,-27.4564928619999
FINCH HATTON RURAL,54 MACKAY EUNGELLA ROAD,FINCH HATTON ,,148.635604861,-21.139206089
FLINDERS PEAK RURAL,9 FLINDERS - DOLOMITE ROAD,PEAK CROSSING ,,152.721938071,-27.789165684
FORESHORES RURAL,INTREPID DRIVE,FORESHORES ,,151.494275717,-24.104259837
FOREST PINES RURAL,ROSELLA AVENUE,THE PINES ,,150.981046087,-27.979649778
FORSAYTH AND DISTRICT RURAL,SIXTH STREET,FORSAYTH ,,143.599959,-18.5882579999999
FREESTONE AND DISTRICT RURAL,FREESTONE ROAD,WARWICK ,,152.140689733,-28.1151597799999
GARGETT RURAL,OFF GARGETT SEPTIMUS ROAD,GARGETT ,,148.741718098,-21.157726387
GATTON SPRINGDALE RURAL,GATTON-ESK ROAD,CLARENDON ,,152.33371,-27.4989199999999
GEMFIELDS RURAL,RUBYVALE ROAD,RUBYVALE ,,147.720617,-23.464167
GEMFIELDS RURAL,10 FLAGON ALLEY,SAPPHIRE ,,147.719568869,-23.4655525429999
GEORGETOWN RURAL,GULF DEVELOPMENT ROAD,GEORGETOWN ,,143.546990634,-18.2901808299999
GILSTON ADVANCETOWN RURAL,442 NERANG MURWILLUMBAH ROAD,ADVANCETOWN ,,153.281256557,-28.0284961319999
GIN GIN RURAL,54 CRAWLERS ROAD,GIN GIN ,,151.958621546,-24.953532899
GIVELDA RURAL,CORNER OF MATTS ROAD AND PINE CREEK ROAD,GIVELDA ,,152.161207167,-25.0031587079999
GLADFIELD MARYVALE RURAL,CUNNINGHAM HIGHWAY,WARWICK ,,152.24563245,-28.0597056789999
GLASS HOUSE MOUNTAINS RURAL,RYAN STREET,GLASS HOUSE MOUNTAINS ,,152.958387,-26.897477
GLASTONBURY RURAL,BROOYAR ROAD,GLASTONBURY ,,152.519711572,-26.213989214
GLENCOE RURAL,80 MCLEAN ROAD,DURONG ,,151.369479847,-26.383714154
GLENMORGAN RURAL,GODFREY STREET,GLENMORGAN ,,149.676981541,-27.248119824
GLENRAE RURAL,83 LYONS STREET,MUNDUBBERA ,,151.297433,-25.590425
GLENWOOD RURAL,CORNER OF JAMES ROAD AND ARBOR TEN ROAD,GLENWOOD ,,152.606798536,-25.930632105
GLOUCESTER RURAL,42 OLIVE STREET,DINGO BEACH ,,148.496980231,-20.0926053339999
GOGANGO RURAL,14 WILLS STREET,GOGANGO ,,150.043364283,-23.6650155749999
GOMAREN RURAL,1314 PEACHEY-MACLAGAN ROAD,GOOMBUNGEE ,,151.920774894,-27.3184571909999
GOODWOOD RURAL,"LOT 121, GOODWOOD ROAD",GOODWOOD ,,152.410516921,-25.146392331
GOOMBOORIAN RURAL,TIN CAN BAY ROAD,GOOMBOORIAN ,,152.775952224,-26.087358755
GOOMBUNGEE RURAL,CORNER OF COOKE STREET AND HADENS STREET,GOOMBUNGEE ,,151.852797879,-27.297249434
GOOVIGEN RURAL,STONES CRESCENT,GOOVIGEN ,,150.284668911,-24.146110896
GOWRIE LITTLE PLAIN RURAL,GOWRIE STREET,KINGSTHORPE ,,151.817432253,-27.479286144
GOWRIE LITTLE PLAIN RURAL,JUNCTION DRIVE,GOWRIE JUNCTION ,,151.896990159,-27.4858204719999
GOWRIE LITTLE PLAIN RURAL,YALANGUR-LILYVALE ROAD,MERINGANDAN WEST ,,151.881430003,-27.4250687049999
GOWRIE MOUNTAIN RURAL,CORNER OF JANNUSCHS COURT AND ROWLAND COURT,GOWRIE MOUNTAIN ,,151.821720647,-27.516468656
GRACEMERE RURAL,PLATEN STREET,GRACEMERE ,,150.456963526,-23.434537855
GRANDCHESTER RURAL,IPSWICH STREET,GRANDCHESTER ,,152.464728391,-27.661834235
GRANTHAM RURAL,1 CHRISTOPHER STREET,GRANTHAM ,,152.20168625,-27.572919847
GRASSTREE RURAL,40 ZELMA STREET,GRASSTREE BEACH ,,149.306272,-21.360735
GREAT KEPPEL ISLAND RURAL,GREAT KEPPEL ISLAND RESORT,GREAT KEPPEL ISLAND ,,150.93735,-23.1830699999999
GREENBANK RURAL,143-145 ISON ROAD,GREENBANK ,,152.958144279,-27.703819316
GREYMARE RURAL,MOUNTAIN MAID ROAD,WARWICK ,,151.769085849,-28.198729193
GUANABA RURAL,33 TARATA ROAD,GUANABA ,,153.252238,-27.937559039
GUNALDA RURAL,42 BALKIN STREET,GUNALDA ,,152.56300324,-25.994612279
GUNALDA RURAL,1301 ANDERLEIGH ROAD,ANDERLEIGH ,,152.680124285,-25.999938073
GUNDIAH RURAL,OLD GYMPIE ROAD,GUNDIAH ,,152.541007932,-25.827963729
GYMPIE SOUTH RURAL,CORNER OF LAWSON ROAD AND REGAN ROAD,MCINTOSH CREEK ,,152.638344232,-26.233038403
HABANA RURAL,YAKAPARI HABANA STREET,HABANA ,,149.077055109,-21.03801578
HADEN AND DISTRICT RURAL,COLLINS ROAD,HADEN ,,151.88162745,-27.223452811
HATTONVALE SUMMERHOLM RURAL,WOOLSHED CREEK ROAD,PLAINLAND ,,152.4622,-27.5750892299999
HAY POINT RURAL,HAYPOINT ROAD,HAY POINT ,,149.287069837,-21.294859704
HAZELDEAN RURAL,ESK KILCOY ROAD,HAZELDEAN ,,152.5525115,-27.0118752879999
HERONVALE RURAL,13 PITCAIN AVENUE,HERONVALE ,,148.295458797,-20.1098182
HERVEYS RANGE RURAL,KATHERINE ROAD,HERVEY RANGE ,,146.45144,-19.3754
HOLLYWELL DALGANGAL RURAL,28 MT ROSE STREET,EIDSVOLD ,,151.117846328,-25.371053376
HORSESHOE BAY RURAL,HORSESHOE BAY ROAD,MAGNETIC ISLAND ,,146.862738647,-19.1265473359999
HOWARD TORBANLEA RURAL,STELEY STREET,HOWARD ,,152.566893492,-25.3210908029999
HOWARD TORBANLEA RURAL,"LOT 1, ",HOWARD ,,152.566893492,-25.3210908029999
ILBILBIE RURAL,PACIFIC AVENUE,ILBILBIE ,,149.448249008,-21.680777731
ILFRACOMBE RURAL,CHURCH STREET,ILFRACOMBE ,,144.508962,-23.4881159999999
INNOT HOT SPRINGS RURAL,KENNEDY HIGHWAY,INNOT HOT SPRINGS ,,145.237298,-17.6672349999999
IREDALE FLAGSTONE RURAL,LOCKYER CREEK ROAD,HELIDON ,,152.124970265,-27.558775925
IREDALE FLAGSTONE RURAL,SCHOOL ROAD,FLAGSTONE CREEK ,,152.116628054,-27.61656234
IRONPOT RURAL,IRONPOT CREEK ROAD,IRONPOT ,,151.429349969,-26.6134617189999
IRVINEBANK RURAL,CORNER OF IBIS ROAD AND JESSIE ROAD,IRVINEBANK ,,145.20545216,-17.4291583519999
JIMBOOMBA RURAL,22 JOHNANNA STREET,JIMBOOMBA ,,153.025060947,-27.8290856209999
JONDARYAN RURAL,DUKE STREET,JONDARYAN ,,151.591831832,-27.368633001
JULATTEN RURAL,2 MT KOOYONG ROAD,JULATTEN ,,145.340414692,-16.594057817
JUNDAH TOWN RURAL,28 MILES STREET,JUNDAH ,,143.059675432,-24.8336275619999
KAIMKILLENBUN RURAL,MOFFAT STREET,KAIMKILLENBUN ,,151.434305807,-27.060633219
KALAPA RURAL,BLACK MT ROAD,KALAPA ,,150.26772,-23.5105199999999
KALBAR RURAL,"GEORGE STREET, GEORGE STREET, KALBAR QLD 4309",KALBAR ,,152.623941005,-27.940800533
KANDANGA RURAL,MULLER ROAD,DAGUN ,,152.673657534,-26.321738195
KANDANGA RURAL,81 MAIN STREET,KANDANGA ,,152.680134656,-26.386633247
